Dataset,Modelo,Stats,T. Entreno (s),Precision In.,Recall In.,F1-score In.,Precision Out.,Recall Out.,F1-score Out.,AUC-ROC
moons,IForest,950 - 50 - 2,0.515,0.9945,0.9495,0.9715,0.4839,0.9,0.6294,0.9777
moons,KNN,950 - 50 - 2,0.005,0.9978,0.9726,0.9851,0.6486,0.96,0.7742,0.9983
moons,OCSVM,950 - 50 - 2,0.027,1.0,0.9495,0.9741,0.5102,1.0,0.6757,0.9996
moons,COPOD,950 - 50 - 2,0.64,0.9884,0.9853,0.9868,0.7358,0.78,0.7573,0.9673
moons,ECOD,950 - 50 - 2,0.0021,0.9947,0.9853,0.99,0.7627,0.9,0.8257,0.9925
circles,IForest,950 - 50 - 2,0.4771,0.9978,0.9495,0.973,0.5,0.96,0.6575,0.9865
circles,KNN,950 - 50 - 2,0.004,0.9989,0.9726,0.9856,0.6533,0.98,0.784,0.9988
circles,OCSVM,950 - 50 - 2,0.0144,0.9989,0.9495,0.9736,0.5052,0.98,0.6667,0.9899
circles,COPOD,950 - 50 - 2,0.0051,0.9864,0.9947,0.9906,0.881,0.74,0.8043,0.9616
circles,ECOD,950 - 50 - 2,0.0023,0.9948,1.0,0.9974,1.0,0.9,0.9474,0.9897
blobs,IForest,950 - 50 - 2,0.4546,0.9967,0.9495,0.9725,0.4947,0.94,0.6483,0.9888
blobs,KNN,950 - 50 - 2,0.0052,1.0,0.9632,0.9812,0.5882,1.0,0.7407,1.0
blobs,OCSVM,950 - 50 - 2,0.0127,1.0,0.9495,0.9741,0.5102,1.0,0.6757,1.0
blobs,COPOD,950 - 50 - 2,0.003,0.9885,0.9968,0.9927,0.9286,0.78,0.8478,0.9953
blobs,ECOD,950 - 50 - 2,0.004,0.9811,0.9853,0.9832,0.6957,0.64,0.6667,0.9836
